text,id,relevent_or_not
"700,Lobbo74 Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1397,Relevant
"2524,iamsybylorbuda Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1401,Relevant
"1087,RT 1life2live SHIN SEC 2018 MIT 1 https t co S96eJeSNTF Introduction for blockchain and money 2 ht",1406,Not_relevant
"2241,If you re considering crypto now do check out the latokens app on PlayStore amp AppStore Clean interface and pretty high rated You can also earn free crypto in the ZIL giveaway https t co RCk1nQKqOO LatokenGiveaway LatokenApp Bitcoin",1409,Not_relevant
"2075,RT BitcoinAssn Join Bitcoin Association Founding President JimmyWinSV for the second BitcoinSV Virtual Meetup of 2021 this time focus",141,Not_relevant
"2550,investment realestate money bitcoin entrepreneur success business invest investor broker property investing forsale wealth cryptocurrency realestateagent realty finance househunting miami wallstreet newhome trading millionaire properties capitalinvesto https t co armSmMZXst",1419,Not_relevant
"2003,No need to spend your own money to trade cryptocurrency Over 10K users won crypto rewards on latokens last week It s the best way to join the financial revolution Start by earning a share of 100K in CLIQ airdrop https t co 2rwoEGmczi Bitcoin ETH Citi AON LATOKEN",142,Not_relevant
"2438,amir awd Primero268 MarkeR2002 Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1435,Relevant
"521,RT LynAldenContact Keeping an eye on this divergence Bitcoin not acting like the duration tech plays so far On its own drumbeat https",1436,Relevant
"386,RT latokens LATOKEN zilliqa Giveaway 3 lucky winners to get 750 ZIL each Participant with most referrals gets assured 750 ZIL D",1438,Not_relevant
"2615,RT Paulus 45 Website for easy and reliable earning gives you 10 welcome credit and minimum withdrawal of 100 on PayPal bitcoin or",1462,Relevant
"87,bitcoin",1468,Not_relevant
"1733,Ready to start developing with BITCOIN",1470,Relevant
"346,RT PetroDivisa Los Bitcoin que compre con mis Petros de la Plataforma Patria ya me est n generando sonrisas esta inversi n la voy dejar",1473,Not_relevant
"646,How To Subscribe On Netflix With Bitcoin And Other Cryptocurrencies https t co 0hTwh69081 https t co DBEnc4yeTG",1495,Not_relevant
"1616,RT latokens LATOKEN giftedhandsGHD Giveaway 4 lucky winners to get 50K GHD each Participant with most invites gets assured 50K GHD",1504,Not_relevant
"1237,TheMarketDog check tether volume that is where the fun is bitcoin is derivate of tether",1506,Relevant
"1185,RT macguyvermedia crypo hacking howto mining macguyvertech fyp progress updates eth btc hack moretocome inside Blockchain B",1513,Not_relevant
"1975,Russian Court Orders Mining Firm Cryptouniverse to Face New Trial on Fraud Mining Bitcoin News https t co lqTGWwxo86",1527,Not_relevant
"1556,Bitcoin https t co PYD5k3N7JJ",1532,Not_relevant
"2505,He s at it again gang bitcoin https t co 0QIUnBXXik",1534,Relevant
"406,sdbtkk RationalEtienne Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1535,Relevant
"2087,freemoneywisdom An automatic btc bot it gives daily mining profit 0 000288BTC and monthly mining profit 0 00864BTC for free https t co 27fhQUAsmS Start the bot to receive free BTC crypto cryptocurrency Bitcoin BTC Free",1547,Not_relevant
"1077,No need to spend your own money to trade cryptocurrency Over 10K users won crypto rewards on latokens last week It s the best way to join the financial revolution Start by earning a share of 100K in CLIQ airdrop https t co PiRUtOs9NA Bitcoin ETH Citi AON LATOKEN",1549,Not_relevant
"63,rushilkachhadi1 EXPERIMENTVL TrumpetDan InternetRadio WholeMarsBlog Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1561,Relevant
"199,RT JoshRoomsburg Meet the LTONetwork CryptoGiveaway Win 50 in LTO or BTC 2 Winners 25 each Retweet Follow TheLTONe",1570,Not_relevant
"1055,Figuring out an easy way to win btc here it is https t co 9JmjDEaIPg cryptocurrency win lasvegas gambling trx slots bitcoin blackjack free doge btc casino betting dogecoin poker litecoin eth https t co LPypQqjtiH",1574,Not_relevant
"1778,AdvoBarryRoux Honestly i never thought to earn as much as have earn now Though i don t know the trading process at first Wilhelmdenni thought me steps to earn from Bitcoin trading have been earning massively trading with Mr wilhelmdenni Get your BTC and DM the account manager Wilhelmdenni",1577,Relevant
"1330,GoingParabolic GoingParabolic We need Crypto loans so people i e kids can borrow a bitcoin today and pay for it with melting FIAT over time The Bitcoin might appreciate so fast you can borrow against it to pay back the loan 100 average annual return",1579,Relevant
"554,notbababoom elonmusk Thanks for your support I have a special gift for you Visit www elon win com remove slashes doge btc eth bitcoin ethereum dogecoin",158,Not_relevant
"114,RT TechBitMx El CEO de Twitter jackdorsey y el rapero Jay Z ya hab an anunciado un fondo para apoyar el BITCOIN ahora impulsar n la",159,Not_relevant
"2515,Bitcoin price exceeded all expectations in February February can be viewed as a watershed moment in the history of Bitcoin The entire month could be looked back upon by market specialists as the markets saw an enormous surge before correcting themselves later in the month https t co 6cugYUxD7s",161,Relevant
"1883,RT trylolli For those that are new to bitcoin you should know that there are 100M satoshis in 1 bitcoin 1M bits in 1 bitcoin",1626,Relevant
"1003,JohnLoc86061417 Sign up and get your 10 new user bonus Chance to win crypto with regular airdrops and events Logged into the world s best crypto exchange https t co JPQC93w0Q1 bitcoin btc airdrop airdrops blockchain crypto cryptocurrency ethereum eth xrp",1651,Not_relevant
"1236,Twitter accounts for sale 1k 1 5k 1 8k 1 9k 2k 3 5k 4k All aged 2009 2014 paypal or btc only ffs will not drop DM me if interested need lf looking for buy buys buying sell selling sells twt twitt twitter account bitcoin acc accts acct 1k 2k",1659,Relevant
"2455,RT iamZatoshi BITCOIN SV GIVEAWAY 24 Hours 2 People 50 in BSV each Follow me Retweet Like Good Luck Z https",166,Not_relevant
"2182,sadbuy died Harami Nobita Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1686,Relevant
"2671,RT 100trillionUSD bitcoin went from 10K in Oct to 50K in Feb Do you realize that if we do that same 5x in 5 months then BTC is 250K",1692,Relevant
"2461,Prices update in USDT 1 hour BTC 48955 68 0 26 ETH 1583 87 0 44 DOT 33 99 0 5 ADA 1 15 0 1 BTC ETH DOT ADA Crypto Bitcoin",1694,Not_relevant
"1090,RT gladstein 98 of humans haven t used Bitcoin yet Let that sink in",1695,Relevant
"1710,minimum 136 chamath Now I will wait for the price of bitcoin to rise to 100 000",1712,Relevant
"987,RT ICOffender Hodlers Of Bitcoin LaserRayUntil100K https t co 67iBnrQDSQ",1714,Relevant
"44,linkedin twitter facebook instagram tiktok socialmedia pinterest onlineshopping medium deal gift gifts giftideas shop shopping affiliatemarketing bitcoin Use code YOURSIZE for 20 off Shoes Amazon https t co N4zGZzAgvt",1716,Not_relevant
"2203,RT spexchange NEW PROMOTION DEMO TRADE EARN REAL BITCOIN BONUS UP TO 0 61BTC 25 000 spexchange spwallet spcoin https t",1720,Not_relevant
"762,RT redhotasset Created an account to show my love for bitcoin",1731,Not_relevant
"1752,RT FrankLambeek PRCY PRCY PRCYcoin Coinsbit staking pool https t co 27aetJHZTs 1 7 50 after 30 days 2 Accrual daily",1733,Not_relevant
"28,Saltier thanSea Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1737,Relevant
"1304,RT latokens LATOKEN zilliqa Giveaway 3 lucky winners to get 750 ZIL each Participant with most referrals gets assured 750 ZIL D",175,Not_relevant
"2462,RT iamZatoshi BITCOIN SV GIVEAWAY 24 Hours 2 People 50 in BSV each Follow me Retweet Like Good Luck Z https",1752,Not_relevant
"1302,RT latokens LATOKEN zilliqa Giveaway 3 lucky winners to get 750 ZIL each Participant with most referrals gets assured 750 ZIL D",1753,Not_relevant
"2082,RT nuhacikbas40 69000 usd hedefli Bitcoin analizimizi de buraya b rakal m BTC d ecek diyenlere Ay geliyor ay geldi diyenlere BTC y",1768,Not_relevant
"243,RT attainingalpha1 FD7 Ventures purchase of 380 million in ada will yield 19 million per year in rewards that s at present day pric",1774,Not_relevant
"2498,amir awd realMeetKevin Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1780,Relevant
"1805,No need to spend your own money to trade cryptocurrency Over 10K users won crypto rewards on latokens last week It s the best way to join the financial revolution Start by earning a share of 100K in CLIQ airdrop https t co Lo3vRLDFTn Bitcoin ETH Citi AON LATOKEN",1805,Not_relevant
"1312,RT bmurphypointman linkedin discount twitter facebook instagram tiktok socialmedia pinterest medium deal gift gifts giftidea",1806,Not_relevant
"485,RT attainingalpha1 FD7 Ventures purchase of 380 million in ada will yield 19 million per year in rewards that s at present day pric",1811,Not_relevant
"831,0 0104 ile STMX i satt m Btc Bitcoin Bnb Binance BinanceSmartChain Crypto cryptocurrency Altcoin Altcoins Ethereum Eth Ripple Xrp cumartesi https t co SYUlydOzRk",1828,Not_relevant
"2096,No need to spend your own money to trade cryptocurrency Over 10K users won crypto rewards on latokens last week It s the best way to join the financial revolution Start by earning a share of 100K in CLIQ airdrop https t co g2Nnr4MRyD Bitcoin ETH Citi AON LATOKEN",1832,Not_relevant
"1563,DudhiaKrupen Sign up and get your 10 new user bonus Chance to win crypto with regular airdrops and events Logged into the world s best crypto exchange https t co JPQC93w0Q1 bitcoin btc airdrop airdrops blockchain crypto cryptocurrency ethereum eth xrp",1841,Not_relevant
"2033,RT trylolli it s ALWAYS a good time to earn bitcoin",1862,Relevant
"943,I just joined this 25k Crypto giveaway by JRNYcrypto and sparkpointio Get daily entries to increase your chances of winning 25 random winners of 1k each Bitcoin Crypto BTC ETH SRK https t co 2z7ej478cL",1874,Not_relevant
"283,https t co NVa3nEoqhD btc bitcoin cryptocurrency jpy",1879,Not_relevant
"2171,No need to spend your own money to trade cryptocurrency Over 10K users won crypto rewards on latokens last week It s the best way to join the financial revolution Start by earning a share of 100K in CLIQ airdrop https t co qCE7VidvGm Bitcoin ETH Citi AON LATOKEN",188,Not_relevant
"335,RT investments ceo ATTENTION I m doing another 50 giveaway This will last 72 Hours How To Enter FOLLOW LIKE COMMENT amp RET",1885,Not_relevant
"401,cz binance Where is my bitcoin",1901,Relevant
"2170,For Free Money is ethereum in exchange for bitcoin sign up on https t co tN9Nct1em2 https t co Yh4NliofnF https t co gvCpviErcM https t co eyoEJmXCgP as receiving bitcoin address earn withdraw money in bank account and more ways https t co 5xkiNimvz1",1902,Not_relevant
"2589,AHMEDRA62997653 lidiabussiman holman Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1914,Relevant
"2623,desi jdc t2theionno Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1921,Relevant
"2667,RT Cointelegraph MicroStrategy now holds 91 064 Bitcoin on its balance sheet Why has their stock slid nearly 50 in the past two weeks",193,Relevant
"2637,crazydeli11 Damodigital TheMoonCarl cz binance Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1940,Relevant
"1230,If you re considering crypto now do check out the latokens app on PlayStore amp AppStore Clean interface and pretty high rated You can also earn free crypto in the GHD giveaway https t co VWKVVwd36y doge cryptocurrency Bitcoin LATOKEN LatokenApp",1954,Not_relevant
"2214,If you re considering crypto now do check out the latokens app on PlayStore amp AppStore Clean interface and pretty high rated You can also earn free crypto in the GHD giveaway https t co hPV0AdkTHE doge cryptocurrency Bitcoin LATOKEN LatokenApp",1976,Not_relevant
"2475,If you re considering crypto now do check out the latokens app on PlayStore amp AppStore Clean interface and pretty high rated You can also earn free crypto in the ZIL giveaway https t co OdDCBsmeeP LatokenGiveaway LatokenApp Bitcoin",1986,Not_relevant
"437,If you re considering crypto now do check out the latokens app on PlayStore amp AppStore Clean interface and pretty high rated You can also earn free crypto in the ZIL giveaway https t co kCSxpJmDu6 LatokenGiveaway LatokenApp Bitcoin",1999,Not_relevant
"2410,The future of crypto investment is here tradingroom bitcoin bitcoinmining bitcointrading investment investing invest investors investor investments bitcoininvestment https t co YOKjlF77iV",2013,Not_relevant
"2227,How to Transfer Bitcoin to PayPal Instantly Sell Bitcoin for PayPal https t co omdH3uIEZB via YouTube",2020,Not_relevant
"410,RT whale alert 11 534 BTC 567 226 614 USD transferred from unknown wallet to unknown wallet Tx https t co rns",2026,Relevant
"2400,frogghie Primero268 SomePaleGamer Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",2040,Relevant
"519,RT JoshRoomsburg Meet XinFin Enterprise Hybrid Blockchain CryptoGiveaway Win 100 in XDC TRX or BTC 2 Winners 50 each",2045,Not_relevant
"1978,maxheds RaoulGMI CaitlinLong Now I will wait for the price of bitcoin to rise to 100 000",2046,Relevant
"1152,RT FrDesposito A new way to help MHTSeminary Send us Bitcoin to bc1q2e30s56qxkv284csfrvr5d7r9g0k09rwyyhfpe bitcoins",205,Not_relevant
"1082,RT scottmelker Institutions aren t buying Bitcoin as a hedge against their cash reserves only to sell a few months later They re her",2066,Relevant
"2029,RT latokens Earn a share of 500K CT coins on LATOKEN Join the CliqToken Airdrop and complete easy social tasks to earn rewards",2067,Not_relevant
"741,RT iamZatoshi BITCOIN SV GIVEAWAY 24 Hours 2 People 50 in BSV each Follow me Retweet Like Good Luck Z https",2088,Not_relevant
"738,RT pete rizzo My first forbes article has hit the homepage The message is clear Publish intelligent Bitcoin content Bitcoiners wi",209,Relevant
"2427,Emil11251241 Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",2091,Relevant
"1147,not only daily and weekly bonuses we got monthly too At https t co 9JmjDEsjGO cryptocurrency win lasvegas gambling trx slots bitcoin blackjack free doge btc casino betting dogecoin poker litecoin eth https t co HtBr8GYHSZ",2092,Not_relevant
"1512,Read my Mar 5 Newsletter featuring MicroStrategy Acquires Additional 10 Million in Bitcoin at Average Price https t co 6mlZKTzhgs",2109,Not_relevant
"1181,RT 100trillionUSD bitcoin went from 10K in Oct to 50K in Feb Do you realize that if we do that same 5x in 5 months then BTC is 250K",2116,Relevant
"1136,The secret is out don t you get left out Buy OXT Orchid s dVPN is in full bloom in 17 days OrchidMarket Snowden BTC ETH LTC BNB LINK BCH XLM AAVE UNI EOS SNX ATOM XTZ MKR COMP FIL UMA DASH GRT ZEC ETC ZRX YFI LRC ALGO CELO KNC XRP DOT Bitcoin https t co HhXyAJHaud",2117,Not_relevant
"1323,Gold bugs don t have rights But you too have the right to buy bitcoin https t co gtuCyAswxk",2127,Relevant
"1818,It s the opposite of when a government prints money and the value of existing money goes down Bitcoin https t co zrCPTndEc2",2130,Relevant
"1992,RT Cardanians io FD7 Ventures dumped 380M worth of Bitcoin and completes the purchase of Cardano Are you asking why Cardano and P",2132,Relevant
"1558,If you re considering cryptocurrency start with latokens Participate easily in airdrops amp giveaways on LATOKEN to earn free crypto Their app is pretty awesome too Start by participating in the ZIL giveaway https t co RNQCEo40Kz dogecoin LatokenApp Bitcoin",2133,Not_relevant
"1815,Masandawana For all those who are new to this working from home Bitcoin trading options Here s a little tip Get a trusted Bitcoin expert and stick to him johnteddy63 Invest and play at similar times each day Because In times of chaos your investment is your anchor to success",2136,Relevant
"345,RT iamZatoshi BITCOIN SV GIVEAWAY 24 Hours 2 People 50 in BSV each Follow me Retweet Like Good Luck Z https",214,Not_relevant
"1301,RT RaymondStender I hope that your stacking Bitcoin now to be rewarded later Long Bitcoin Short the dollar https t co 64r1ess29x",2140,Relevant
"982,Thembalihle KwestaDaKAR Honestly i never thought to earn as much as have earn now Though i don t know the trading process at first Wilhelmdenni thought me steps to earn from Bitcoin trading have been earning massively trading with Mr wilhelmdenni Get your BTC and DM the account manager Wilhelmdenni",2148,Relevant
"902,RT shortthebanks Want a chance to win 50 in Bitcoin Just retweet and tag someone to enter 1 Winner will be picked in 7 days solar",2153,Not_relevant
"306,https t co mnt5w0q52A",2180,Not_relevant
"1257,Bitcoin de hafta sonlar ya anan b y k dalgalanmalar n sebebi nedir BTC d e ge ti i an di er cyripto lar neden d e ge iyor zellikle Cumartesi gecesi yat r mc i in neden risklidir ethereum rippel CardanoADA XLM cokgezengurme blacksea https t co LZnsA4U9g0",2204,Not_relevant
"1091,lost too much in trading no worries play and recover at https t co 9JmjDEaIPg cryptocurrency win lasvegas gambling trx slots bitcoin blackjack free doge btc casino betting dogecoin poker litecoin eth https t co XCN3DqFGb7",2212,Not_relevant
"1874,RT gregory raymond En 2021 le bitcoin est en train de passer d un d actif risque sp culatif vers une r serve de valeur num rique mon",2218,Not_relevant
"131,RT martinlazarte17 SORTEO POR LAS MONEDAS DE BITCOIN BTC 10 GANADORES Para participar sigue estos pasos 1 S gueme martinlazar",2231,Not_relevant
"1316,3 5 12 102 3 6 1 108 41 1 311 EEX 10 60 bitcoin",2260,Not_relevant
"1578,Tags Gcash giveaway ga paypal bitcoin unsealed album ww ph Philippines bts loona exo seventeen nct blackpink red velvet twice sealed lightstick ls album of your choice free money",2263,Not_relevant
"1345,If you re considering cryptocurrency start with latokens Participate easily in airdrops amp giveaways on LATOKEN to earn free crypto Their app is pretty awesome too Start by participating in the ZIL giveaway https t co vL1n7fqdBc dogecoin LatokenApp Bitcoin",2264,Not_relevant
"1270,RT iamZatoshi BITCOIN SV GIVEAWAY 24 Hours 2 People 50 in BSV each Follow me Retweet Like Good Luck Z https",2277,Not_relevant
"1352,SenSherrodBrown Let s face it China is leaps and bounds ahead of USA when it comes to technology adoption and the army of graduates who specialize in Technology USD is on it s way out and it has already served it s purpose Now is a time to transition to Bitcoin Standard",229,Relevant
"745,RT jimmysong Keynesian mindset money is for spending method of payment therefore fiat altcoins are superior Austrian mindset money is",2295,Not_relevant
"354,RT ImDanielAlvarez Cryptocurrency hedge fund BKCoinCapital evolving arbitrage strategy soars amid Bitcoin surge BetancourtBKC He",2297,Relevant
